一回路压力平均值,一环路冷热段平均值,堆芯出口温度平均值,主蒸汽压力平均值,辅助给水流量平均值,重要厂用水系统压力,DeltaTsat平均值,安全壳压力平均值,SG1水位平均值,稳压器泄压箱压力,压缩空气系统压力,汽机旁路系统蒸汽阀平均开度
15.3885,309.81,333.4325,6.670005000000001,0.0,0.0120312,11.1162,100.982,0.0025285100000000003,0.0157523,0.816083,0.0
15.389,309.8105,333.4325,6.670025,0.0,0.0120312,11.1183,100.982,0.00244382,0.0157493,0.816096,0.0
15.3894,309.811,333.433,6.6700475,0.0,0.0120312,11.1204,100.982,0.002360475,0.0157474,0.816108,0.0
15.3899,309.811,333.4335,6.6700675,0.0,0.0120312,11.12245,100.982,0.002277935,0.0157499,0.81612,0.0
15.3903,309.8115,333.4335,6.6700875,0.0,0.0120312,11.1245,100.982,0.002196035,0.0157525,0.816132,0.0
15.3908,309.812,333.43399999999997,6.670105,0.0,0.0120312,11.1266,100.982,0.002115895,0.0157517,0.816145,0.0
15.3913,309.812,333.4345,6.670125,0.0,0.0120312,11.1287,100.982,0.002039215,0.0157484,0.816157,0.0
15.3917,309.812,333.4345,6.670145,0.0,0.0120312,11.13075,100.982,0.00196436,0.015748,0.816169,0.0
15.3922,309.813,333.435,6.670164999999999,0.0,0.0120312,11.1328,100.982,0.00189089,0.0157511,0.816181,0.0
15.3926,309.813,333.4355,6.670185,0.0,0.0120312,11.13485,100.982,0.00181857,0.0157528,0.816193,0.0
15.3931,309.8135,333.4355,6.670205,0.0,0.0120312,11.13695,100.982,0.00174733,0.0157508,0.816206,0.0
15.3936,309.814,333.43600000000004,6.670225,0.0,0.0120312,11.13905,100.982,0.0016771199999999998,0.0157479,0.816218,0.0
15.394,309.814,333.4365,6.6702449999999995,0.0,0.0120312,11.1411,100.982,0.00160791,0.015749,0.81623,0.0
15.3945,309.8145,333.4365,6.6702650000000006,0.0,0.0120312,11.14315,100.982,0.00153904,0.0157521,0.816242,0.0
