汽机旁路系统蒸汽阀平均开度,稳压器喷淋阀平均开度,上充流量调节阀开度,电加热开启数量,一环路冷热段平均值,堆芯出口温度平均值,一回路压力平均值,ΔTsat平均值
66.63246666666667,0.0,100.0,0,253.20749999999998,253.118,5.80158,21.1758
66.63246666666667,0.0,100.0,0,253.1735,253.083,5.79871,21.1794
66.63246666666667,0.0,100.0,0,253.1415,253.047,5.79589,21.1837
66.63246666666667,0.0,100.0,0,253.111,253.01,5.7929,21.1872
66.63246666666667,0.0,100.0,0,253.0795,252.97199999999998,5.78965,21.1882
66.63246666666667,0.0,100.0,0,253.045,252.9325,5.78522,21.1759
66.63246666666667,0.0,100.0,0,253.0085,252.892,5.78026,21.1628
66.63246666666667,0.0,100.0,0,252.9735,252.8505,5.77562,21.1526
66.63246666666667,0.0,100.0,0,252.9395,252.80849999999998,5.77103,21.1456
66.63246666666667,0.0,100.0,0,252.904,252.76600000000002,5.76654,21.1368
66.63246666666667,0.0,100.0,0,252.8655,252.723,5.76106,21.1175
66.63246666666667,0.0,100.0,0,252.8225,252.68099999999998,5.75519,21.1021
66.63246666666667,0.0,100.0,0,252.785,252.63400000000001,5.75021,21.0886
66.63246666666667,0.0,100.0,0,252.748,252.5925,5.74571,21.0818
66.63246666666667,0.0,100.0,0,252.71,252.551,5.74109,21.0706
66.63246666666667,0.0,100.0,0,252.66950000000003,252.50900000000001,5.73568,21.0519
66.63246666666667,0.0,100.0,0,252.62900000000002,252.46800000000002,5.73084,21.0414
66.63246666666667,0.0,100.0,0,252.59050000000002,252.426,5.72603,21.0301
66.63246666666667,0.0,100.0,0,252.552,252.385,5.72193,21.0261
66.63246666666667,0.0,100.0,0,252.512,252.3435,5.71752,21.0164
66.63246666666667,0.0,100.0,0,252.469,252.30200000000002,5.71244,21.0022
66.63246666666667,0.0,100.0,0,252.429,252.26049999999998,5.7081,20.9964
66.63246666666667,0.0,100.0,0,252.3885,252.219,5.70354,20.9879
66.63246666666667,0.0,100.0,0,252.3495,252.1775,5.69972,20.987
