Wall time,Step,Value
1676408351.68125,441,-25740.3203125
1676408432.193475,442,-22772.951171875
1676408594.363197,444,-20813.626953125
1676408673.015897,445,-22198.806640625
1676408833.812235,447,-24402.396484375
1676408914.475172,448,-29224.755859375
1676408994.610291,449,-39874.1875
1676409073.681059,450,-13945.1708984375
1676409154.24812,451,-29560.8828125
1676409235.885937,452,-38922.28125
1676409395.364978,454,-17589.361328125
1676409475.386852,455,-38105.234375
1676409636.795735,457,-14598.37890625
1676409716.205078,458,-12096.8134765625
1676409795.76509,459,-18260.8828125
1676409876.112575,460,-37595.8046875
1676409957.289795,461,-28374.728515625
1676410037.148414,462,-18834.771484375
1676410117.687726,463,-16794.568359375
1676410198.073597,464,-11811.5390625
1676410278.915154,465,-17588.349609375
1676410359.367411,466,-12219.4521484375
1676410439.290281,467,-28745.232421875
1676410519.567488,468,-32903.62109375
1676410600.476704,469,-23208.7421875
1676410682.746607,470,-12480.798828125
1676410762.900274,471,-21822.529296875
1676410922.095346,473,-32590.63671875
1676411003.63392,474,-15540.3857421875
1676411243.819029,477,-30758.08984375
1676411324.805257,478,-16280.2626953125
1676411646.176699,482,-17447.5546875
1676411888.3164,485,-12738.369140625
1676411967.802778,486,-12924.646484375
1676412129.867552,488,-12003.31640625
1676412209.896287,489,-15755.322265625
1676412369.769492,491,-23758.125
1676412451.454482,492,-21110.640625
1676412532.233789,493,-15033.5517578125
1676412773.02212,496,-22255.212890625
1676412854.822809,497,-19521.357421875
1676413014.263375,499,-21121.314453125
1676413411.127213,503,-249.3512420654297
1676413518.97146,504,-574.3204345703125
1676413730.76324,506,-3054.245849609375
1676413836.297861,507,-2871.975830078125
1676413943.701539,508,-2736.7802734375
1676414049.330962,509,-2735.080322265625
1676414153.767619,510,-2697.469482421875
1676414260.650777,511,-3008.265625
1676414366.351877,512,-2455.114013671875
1676414578.405044,514,-2531.518310546875
1676414685.254542,515,-2448.0703125
1676414790.028909,516,-2061.629638671875
1676414896.045776,517,-1542.64990234375
1676415003.207859,518,-838.3712768554688
1676415108.983681,519,-478.3510437011719
1676415214.97663,520,-462.2138671875
1676415535.732671,523,-548.0709228515625
1676415642.406145,524,-465.3876647949219
1676415749.138984,525,-408.74560546875
1676416385.742102,531,-379.958251953125
1676416597.960326,533,-372.51104736328125
1676416705.02149,534,-356.9084167480469
1676416813.331571,535,-327.5500183105469
1676416919.034503,536,-302.5082092285156
1676417023.826013,537,-288.2538146972656
1676417131.764486,538,-278.19921875
1676417239.241143,539,-265.925048828125
1676417344.252362,540,-257.32855224609375
1676417451.438785,541,-248.9512481689453
1676417558.428484,542,-243.0267333984375
1676417664.094654,543,-239.27381896972656
1676417769.27718,544,-234.778564453125
1676417877.569127,545,-233.99862670898438
1676417984.139689,546,-226.46392822265625
1676418089.533881,547,-228.8519744873047
1676418197.498446,548,-233.6650848388672
1676418305.701563,549,-242.9890594482422
1676418519.402849,551,-273.5196838378906
1676418626.824031,552,-288.8582763671875
1676418732.05068,553,-320.86724853515625
1676418946.576271,555,-316.9615478515625
1676419159.055182,557,-334.05023193359375
1676419373.263532,559,-331.8760681152344
1676419478.755179,560,-330.13604736328125
1676419800.930407,563,-309.14190673828125
1676419907.068813,564,-2338.516357421875
1676420014.836063,565,-5425.12451171875
1676420227.375879,567,-2505.770263671875
1676420334.520502,568,-374.1283874511719
1676420442.601041,569,-245.8186492919922
1676420654.699103,571,-332.29229736328125
1676420762.891674,572,-354.01171875
1676420869.288812,573,-370.3765563964844
1676420976.406714,574,-375.7379455566406
1676421192.733051,576,-289.7887878417969
1676421298.465231,577,-269.4043273925781
1676421405.720534,578,-258.51251220703125
1676421513.839576,579,-240.1524200439453
1676421619.708208,580,-247.55079650878906
1676421726.7001,581,-240.90773010253906
1676421830.779623,582,-255.20123291015625
1676421931.795043,583,-235.86212158203125
1676422033.079991,584,-254.6541748046875
1676422139.405641,585,-247.73553466796875
1676422246.211068,586,-256.4485778808594
1676422352.021969,587,-252.44989013671875
1676422458.3457,588,-255.16827392578125
1676422566.492415,589,-255.3953857421875
1676422776.237,591,-251.88729858398438
1676422882.360103,592,-279.6680603027344
1676422989.017816,593,-280.0343017578125
1676423198.909291,595,-246.70159912109375
1676423306.319063,596,-258.9552917480469
1676423410.620764,597,-252.57896423339844
1676423516.186226,598,-327.634521484375
1676423730.694432,600,-388.5149230957031
1676423835.087316,601,-366.8269958496094
1676423941.463661,602,-345.5600280761719
1676424044.090915,603,-337.8699951171875
1676424145.332615,604,-346.3056945800781
1676424251.794351,605,-351.225830078125
1676424341.756382,606,-363.3154296875
1676424520.468143,608,-353.17138671875
1676424702.709132,610,-342.0491027832031
1676424792.665573,611,-327.3872375488281
1676424883.351631,612,-316.8338928222656
1676425154.113974,615,-292.5359802246094
1676425519.311065,619,-280.1712646484375
1676425616.017063,620,-263.71453857421875
1676425712.144509,621,-266.8515319824219
1676425804.221513,622,-268.7978515625
1676425895.246144,623,-267.5103454589844
1676426084.253022,625,-266.24200439453125
1676426176.628485,626,-272.9447326660156
1676426452.179215,629,-294.9629211425781
1676426543.362988,630,-303.8414001464844
1676426726.69477,632,-305.13824462890625
1676426910.321087,634,-327.8567810058594
1676427001.531921,635,-317.6990051269531
1676427276.364229,638,-332.50286865234375
1676427367.486675,639,-327.4177551269531
1676427460.942979,640,-332.1689147949219
1676427554.25075,641,-326.94134521484375
1676427644.564777,642,-324.888916015625
1676427735.697978,643,-323.8438415527344
1676427827.899197,644,-322.5885314941406
1676427918.927589,645,-321.9631042480469
1676428008.572927,646,-323.0616760253906
1676428098.763038,647,-321.961181640625
1676428189.85619,648,-323.0412902832031
1676428280.364894,649,-321.8152770996094
1676428370.255085,650,-315.5636291503906
1676428462.49419,651,-328.88946533203125
1676428556.072888,652,-326.3334655761719
1676428648.844138,653,-326.6161193847656
1676428925.949863,656,-330.0506286621094
1676429017.734862,657,-326.1617126464844
1676429203.517042,659,-339.008544921875
1676429387.670074,661,-354.23016357421875
1676429482.781067,662,-366.6700439453125
1676429577.939909,663,-369.23876953125
1676429670.203937,664,-370.84014892578125
1676429760.628196,665,-370.5140075683594
1676429850.872674,666,-381.4411926269531
1676429942.6235,667,-396.21270751953125
1676430033.857294,668,-371.3642272949219
1676430124.331418,669,-370.25909423828125
1676430304.384129,671,-361.42724609375
1676430395.831232,672,-361.0430908203125
1676430486.934561,673,-361.13323974609375
1676430575.755333,674,-365.8309631347656
1676430666.63559,675,-380.2305603027344
1676430848.794639,677,-369.4404602050781
1676430938.130478,678,-361.4552001953125
1676431030.234134,679,-378.5274658203125
1676431121.993898,680,-399.4415283203125
1676431212.228726,681,-408.86517333984375
1676431302.342025,682,-416.5229187011719
1676431395.027234,683,-385.69866943359375
1676431487.706735,684,-374.1993408203125
1676431577.361393,685,-345.9402770996094
1676431665.925768,686,-351.927490234375
1676431757.811817,687,-350.6236267089844
1676431848.518345,688,-341.9784240722656
1676431938.253135,689,-352.0729675292969
1676432209.625777,692,-359.9869079589844
1676432388.581341,694,-380.5735168457031
1676432570.924087,696,-365.28662109375
1676432841.056287,699,-346.4891052246094
1676432932.163666,700,-344.3309326171875
1676433021.539775,701,-350.0325927734375
1676433110.175857,702,-350.1212463378906
1676433201.911852,703,-331.29443359375
1676433292.407708,704,-339.9674987792969
1676433381.784216,705,-336.17840576171875
1676433470.565448,706,-340.1069641113281
1676433561.739163,707,-337.2855529785156
1676433652.360239,708,-331.4001770019531
1676433741.637399,709,-329.4820556640625
1676433831.42621,710,-329.370361328125
1676433922.889514,711,-327.6642150878906
1676434192.708784,714,-368.1273498535156
1676434284.48017,715,-386.4447937011719
1676434375.091686,716,-377.724853515625
1676434553.459248,718,-375.54156494140625
1676434644.922699,719,-363.6430358886719
1676434825.278081,721,-358.30291748046875
1676434914.248019,722,-361.79400634765625
1676435006.126406,723,-359.7146301269531
1676435096.961974,724,-357.654296875
1676435186.300534,725,-371.6824035644531
1676435275.244847,726,-400.3656921386719
1676435547.13438,729,-379.9834289550781
1676435636.443961,730,-379.62469482421875
1676435728.096188,731,-374.6834716796875
1676436089.390537,735,-369.12530517578125
1676436181.028497,736,-372.73699951171875
1676436359.788953,738,-390.97802734375
1676436451.654772,739,-408.1092529296875
1676436542.869744,740,-399.8093566894531
1676436631.90739,741,-381.496826171875
1676436721.895567,742,-382.1791076660156
1676436814.160879,743,-404.64202880859375
1676436995.081125,745,-398.13629150390625
1676437084.555439,746,-426.6242980957031
1676437174.95031,747,-391.1102600097656
1676437354.861839,749,-405.8457946777344
1676437444.009041,750,-450.8616943359375
1676437535.920378,751,-393.2733154296875
1676437626.787906,752,-472.2442626953125
1676437716.641001,753,-454.794677734375
1676437805.819758,754,-398.11639404296875
1676437897.955452,755,-370.0746765136719
1676437989.1308,756,-326.3378601074219
1676438259.75048,759,-310.4927978515625
1676438351.066379,760,-305.9676818847656
1676438531.066596,762,-305.05975341796875
1676438623.032761,763,-300.72314453125
1676438714.521213,764,-293.4642333984375
1676438803.485102,765,-300.79486083984375
1676438893.460034,766,-279.89154052734375
1676438984.530882,767,-281.51629638671875
1676439163.94671,769,-276.9597473144531
1676439253.86152,770,-279.88861083984375
1676439345.394838,771,-282.42706298828125
1676439436.470316,772,-275.17529296875
1676439525.768266,773,-275.70953369140625
1676439616.082877,774,-274.05712890625
1676439707.723641,775,-276.7322692871094
1676439798.707635,776,-267.5070495605469
1676440070.283245,779,-279.2080383300781
