,一回路压力平均值,一环路冷热段平均值,堆芯出口温度平均值,主蒸汽压力平均值,辅助给水流量平均值,重要厂用水系统压力,DeltaTsat平均值,安全壳压力平均值,SG1水位平均值,稳压器泄压箱压力,压缩空气系统压力,汽机旁路系统蒸汽阀平均开度
86,1.856071454,1.519471771,1.737918304,1.07366919,-1.513543699,-2.006346969,-1.516201153,-2.167197361,-0.883689075,-1.159863309,-1.373107613,-0.878413187
87,1.856181217,1.519471771,1.737918304,1.073662062,-1.513543699,-2.006346969,-1.51594926,-2.167197361,-0.883807233,-1.159666166,-1.372275477,-0.878413187
88,1.856318421,1.519454085,1.737932372,1.073652082,-1.513543699,-2.006346969,-1.515714159,-2.167197361,-0.883926989,-1.159196056,-1.371507351,-0.878413187
89,1.856428185,1.519454085,1.737932372,1.073644953,-1.513543699,-2.006346969,-1.515467863,-2.167197361,-0.884046911,-1.159135397,-1.370739224,-0.878413187
90,1.856565389,1.519471771,1.737932372,1.073634973,-1.513543699,-2.006346969,-1.515221567,-2.167197361,-0.88416605,-1.159575177,-1.369971098,-0.878413187
91,1.856675152,1.519471771,1.737946441,1.073627845,-1.513543699,-2.006346969,-1.514986466,-2.167197361,-0.88428461,-1.159863309,-1.369202972,-0.878413187
92,1.856812357,1.519471771,1.737946441,1.073623568,-1.513543699,-2.006346969,-1.514751366,-2.167197361,-0.884403119,-1.159469023,-1.368434846,-0.878413187
93,1.85692212,1.519471771,1.73796051,1.073623568,-1.513543699,-2.006346969,-1.514516265,-2.167197361,-0.884526581,-1.159089902,-1.36760271,-0.878413187
94,1.857059324,1.519489457,1.73796051,1.073623568,-1.513543699,-2.006346969,-1.514258774,-2.167197361,-0.884655391,-1.159226386,-1.366834584,-0.878413187
95,1.857169088,1.519489457,1.737974578,1.073623568,-1.513543699,-2.006346969,-1.514023673,-2.167197361,-0.884787242,-1.159711661,-1.366066458,-0.878413187
96,1.857306292,1.519489457,1.737988647,1.073622142,-1.513543699,-2.006346969,-1.513782975,-2.167197361,-0.884919963,-1.15977232,-1.365234321,-0.878413187
97,1.857416055,1.519489457,1.737988647,1.073623568,-1.513543699,-2.006346969,-1.513553472,-2.167197361,-0.885044802,-1.15930221,-1.364466195,-0.878413187
98,1.85755326,1.519507143,1.738002715,1.073627845,-1.513543699,-2.006346969,-1.513318371,-2.167197361,-0.885163467,-1.159044408,-1.363698069,-0.878413187
99,1.857663023,1.519507143,1.738002715,1.073627845,-1.513543699,-2.006346969,-1.513088868,-2.167197361,-0.885276262,-1.159362869,-1.362929943,-0.878413187
100,1.857800227,1.519507143,1.738016784,1.07362927,-1.513543699,-2.006346969,-1.512853768,-2.167197361,-0.885384084,-1.159787485,-1.362097806,-0.878413187
